Name,Title,Top,Jungle,Middle,Bottom,Support,Primary,,Damage,Toughness,Control,Mobility,Utility,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range,Difficulty,Damage Type,Gender,Appearance
Nidalee,the Bestial Huntress,0,1,0,0,0,Specialist,Specialist,3,1,0,3,2,545,85,6.008,0.6,295.6,45,6,0.8,61,3.5,0.638,0.0322,28,3.5,30,0.5,335,525,3,Magic,Female,Sexy
Nocturne,the Eternal Nightmare,0,1,0,0,0,Slayer,Assassin,3,1,2,2,2,582.8,85,8.26,0.75,273.8,35,6.756,0.45,67.21,3.1,0.668,0.027,36,3.5,32.1,1.25,345,125,1,Physical,Male,Wicked
Nunu,the Yeti Rider,0,1,0,0,0,Tank,Warden,1,3,2,1,2,590,90,5,0.8,283.56,42,7.44,0.5,67,4,0.625,0.0225,28,3.5,32.1,1.25,345,125,1,Magic,Male,Cute
Olaf,the Berserker,0,1,0,0,0,Fighter,Diver,2,2,2,1,0,597.24,93,8.512,0.9,315.6,42,7.466,0.575,68,3.5,0.694,0.027,35,3,32.1,1.25,350,125,2,Physical,Male,Handsome
Orianna,the Lady of Clockwork,0,0,1,0,0,Mage,Burst,2,1,2,1,2,530,91,6.874,0.55,334,50,6,0.8,40.368,2.6,0.658,0.035,17.04,3,30,0.5,325,525,2,Magic,Female,Cute
Ornn,the Fire Below The Mountain,1,1,0,0,1,Tank,Vanguard,1,3,3,1,2,565.64,90,9,0.8,340.6,45,8.01,0.6,67.72,3.5,0.625,0.02,33.04,3,32.1,1.25,335,175,2,Physical,Male,Fierce
Pantheon,the Artisan of War,1,0,0,0,0,Fighter,Diver,3,2,2,2,0,579.16,87,7.842,0.65,317.12,31,7.356,0.45,64,2.9,0.644,0.0295,37,3.9,32.1,1.25,355,150,1,Physical,Male,Handsome
Poppy,Keeper of the Hammer,1,0,0,0,0,Tank,Warden,2,3,3,2,0,540,90,8,0.8,280,40,7,0.7,64,4,0.625,0.025,38,3.5,32,1.25,345,125,2,Physical,Female,Cute
Quinn,Demacia's Wings,1,0,0,0,0,Specialist,Specialist,3,0,2,3,1,532.8,85,5.424,0.55,268.8,35,6.972,0.4,62,2.41,0.668,0.031,32,3.5,30,0.5,335,525,2,Physical,Female,Handsome
Rakan,the Charmer,0,0,0,0,1,Controller,Catcher,1,2,3,3,3,510,85,5,0.5,315,50,8.75,0.5,70,3.5,0.635,0.03,36,3.9,30,0.5,335,300,2,Magic,Male,Sexy
Rammus,the Armordillo,0,1,0,0,0,Tank,Vanguard,2,3,3,2,1,564.48,86,7.924,0.55,310.44,33,7.84,0.5,55.88,3.5,0.625,0.02215,36,4.3,32.1,1.25,335,125,1,Physical,Male,Cute
Rek'Sai,the Void Burrower,0,1,0,0,0,Fighter,Diver,2,2,2,2,2,570,85,7.342,0.65,100,0,0,0,65.5,3.35,0.667,0.02,33,3.75,32.1,1.25,335,175,2,Physical,Male,Wicked
Renekton,the Butcher of the Sands,1,0,0,0,0,Fighter,Diver,2,2,2,2,1,572.16,87,7.96,0.75,100,0,0,0,66,3.1,0.665,0.0265,35,3.8,32.1,1.25,345,125,1,Physical,Male,Fierce
Rengar,the Pridestalker,0,1,0,0,0,Fighter,Diver,3,1,2,2,0,586.2,90,7,0.5,4,0,0,0,68,1.5,0.625,0.035,34,3,32.1,1.25,345,125,2,Physical,Male,Fierce
Riven,the Exile,1,1,0,0,0,Slayer,Skirmisher,3,2,2,3,0,558.48,86,5.34,0.5,0,0,0,0,64,3,0.625,0.035,33,3.2,32.1,1.25,340,125,2,Physical,Female,Sexy
Rumble,the Mechanized Menace,1,0,0,0,0,Mage,Battlemage,3,2,2,1,0,589,85,8.008,0.6,100,0,0,0,61.036,3.2,0.644,0.0185,30.88,3.5,32.1,1.25,345,125,3,Magic,Male,Cute
Ryze,the Rune Mage,1,0,1,0,0,Mage,Battlemage,3,1,2,2,2,570.48,98,7,0.55,400,50,6,0.8,55.04,3,0.625,0.02112,21.552,3,30,0.5,340,550,2,Magic,Male,Wicked
Sejuani,Fury of the North,0,1,0,0,0,Tank,Vanguard,2,2,3,2,0,560,95,8.5,0.85,400,40,7,0.7,64,3,0.625,0.03,31,3,27.1,0.75,340,150,2,Magic,Female,Handsome
Shaco,the Demon Jester,0,1,0,0,0,Slayer,Assassin,3,1,2,2,2,587,89,8.374,0.55,297.2,40,7.156,0.45,66,3.5,0.694,0.03,30,3.5,32.1,1.25,350,125,2,Physical,Male,Wicked
Shen,the Eye of Twilight,1,0,0,0,0,Tank,Warden,2,3,2,2,3,540,85,8.5,0.75,400,0,50,0,60,3,0.651,0.02,34,3,32.1,1.25,340,125,2,Physical,Male,Handsome
Shyvana,the Half-Dragon,0,1,0,0,0,Fighter,Juggernaut,2,2,0,2,0,595,95,8.6,0.8,100,0,0,0,66,3.4,0.658,0.025,38,3.35,32.1,1.25,350,125,1,Physical,Female,Sexy
Singed,the Mad Chemist,1,0,0,0,0,Specialist,Specialist,2,3,2,2,0,580,85,8.024,0.55,290.6,45,7.524,0.55,62.32,3.375,0.613,0.0181,37,3.5,32.1,1.25,345,125,2,Magic,Male,Wicked
Sion,the Undead Juggernaut,1,1,0,0,1,Tank,Vanguard,2,3,3,1,0,542.64,73,10.18,0.8,325.6,42,8.008,0.6,68,4,0.679,0.013,32,3,32.1,1.25,345,175,1,Physical,Male,Fierce
Sivir,the Battle Mistress,0,0,0,1,0,Marksman,Marksman,3,1,0,1,2,515.76,82,5.174,0.55,284,50,8.012,0.9,65,2.41,0.625,0.016,31,3.25,30,0.5,335,500,2,Physical,Female,Sexy
Skarner,the Crystal Vanguard,0,1,0,0,0,Fighter,Diver,1,3,3,1,1,601.28,90,8.928,0.85,272.2,40,7.206,0.45,65,4.5,0.625,0.021,38,3.8,32.1,1.25,335,125,1,Physical,Male,Wicked
Sona,Maven of the Strings,0,0,0,0,1,Controller,Enchanter,2,1,2,1,2,482.36,77,5.424,0.55,340.6,45,11.5,0.4,46,3,0.644,0.023,28,3.3,30,0.5,325,550,1,Magic,Female,Cute
Soraka,the Starchild,0,0,0,0,1,Controller,Enchanter,1,1,2,1,3,529.04,78,2.5,0.5,350.8,60,11.5,0.4,50.04,3,0.625,0.0214,32,3.8,30,0.5,325,550,1,Magic,Female,Cute
Swain,the Master Tactician,1,0,1,0,0,Mage,Battlemage,2,2,2,0,0,528,102,7.842,0.65,374,47,6,0.8,52.04,3,0.625,0.0211,22.72,4,30,0.5,335,500,2,Magic,Male,Wicked
Syndra,the Dark Sovereign,0,0,1,0,0,Mage,Burst,3,0,2,0,0,523,90,6.508,0.6,384,60,6,0.8,53.872,2.9,0.625,0.02,24.712,3.4,30,0.5,330,550,2,Magic,Female,Sexy
Tahm Kench,the River King,0,0,0,0,1,Tank,Warden,2,3,2,1,3,610,95,6.5,0.55,325,40,8,1,56,3.2,0.658,0.025,47,3.5,32.1,1.25,335,175,1,Magic,Male,Cute
Taliyah,the Stoneweaver,0,0,1,0,0,Mage,Battlemage,3,0,2,1,3,532,90,7,0.7,340,60,7,0.85,56,3.3,0.625,0.0136,20,3.5,30,0.5,325,525,2,Magic,Female,Handsome
Talon,the Blade's Shadow,0,0,1,0,0,Slayer,Assassin,3,0,1,2,0,588,95,8.51,0.75,377.2,37,7.6,0.8,68,3.1,0.625,0.029,32,3.5,32.1,1.25,335,125,2,Physical,Male,Handsome
Taric,the Shield of Valoran,0,0,0,0,1,Controller,Enchanter,1,2,2,0,3,575,90,6,0.5,300,60,8.5,0.8,55,3.5,0.625,0.02,40,3.4,32.1,1.25,340,150,2,Magic,Male,Sexy
Teemo,the Swift Scout,1,0,0,0,1,Specialist,Specialist,3,0,2,1,2,528,94,5.742,0.65,267.2,40,7.206,0.45,58,3,0.69,0.0338,24.3,3.75,30,0.5,330,500,1,Magic,Male,Cute
Thresh,the Chain Warden,0,0,0,0,1,Controller,Catcher,1,2,3,1,3,560.52,93,6.924,0.55,273.92,44,6,0.8,56,2.2,0.625,0.035,28,0,30,0.5,335,450,3,Magic,Male,Wicked
Tristana,the Yordle Gunner,0,0,0,1,0,Marksman,Marksman,3,0,2,2,0,542.76,82,6.192,0.65,246.76,32,7.206,0.45,65,2.41,0.656,0.015,31,3,30,0.5,325,550,1,Physical,Female,Cute
Trundle,the Troll King,1,0,0,0,0,Fighter,Juggernaut,2,3,1,1,2,616.28,96,6,0.75,281.6,45,7.508,0.6,68,3,0.67,0.029,37,2.7,32.1,1.25,350,175,1,Physical,Male,Fierce
Tryndamere,the Barbarian King,1,0,0,0,0,Slayer,Skirmisher,3,2,1,2,0,625.64,98,8.512,0.9,100,0,0,0,69,3.2,0.67,0.029,33,3.1,32.1,1.25,345,125,1,Physical,Male,Fierce
Twisted Fate,the Card Master,0,0,1,0,0,Mage,Burst,3,0,2,2,2,534,94,5.508,0.6,265.84,38,6,0.8,49.954,3.3,0.651,0.0322,20.542,3.15,30,0.5,335,525,2,Magic,Male,Handsome
Twitch,the Plague Rat,0,1,0,1,0,Marksman,Marksman,3,0,1,2,0,525.08,81,6.008,0.6,287.2,40,7.256,0.45,63,2.41,0.679,0.0338,32,3,30,0.5,330,550,2,Physical,Male,Cute
Udyr,the Spirit Walker,1,1,0,0,0,Fighter,Juggernaut,2,3,2,2,0,593.32,99,6,0.75,270.4,30,7.506,0.45,66,5,0.658,0.0267,34,4,32.1,1.25,345,125,2,Physical,Male,Handsome
Urgot,the Dreadnought,1,0,0,0,0,Fighter,Juggernaut,2,2,2,1,1,585,88,7.5,0.7,300,45,7.25,0.6,63,4,0.595,0.0375,39,4.25,32.1,1.25,330,350,2,Physical,Male,Fierce
Varus,the Arrow of Retribution,0,0,0,1,0,Marksman,Marksman,3,0,2,0,0,537.76,82,5.424,0.55,360.48,33,7.34,0.8,63,2.41,0.658,0.03,32,3.4,30,0.5,330,575,2,Physical,Male,Handsome
Vayne,the Night Hunter,1,0,0,1,0,Marksman,Marksman,3,0,2,2,0,498.44,83,5.424,0.55,231.8,35,6.972,0.4,64,1.66,0.658,0.04,28,3.4,30,0.5,330,550,2,Physical,Female,Handsome
Veigar,the Tiny Master of Evil,0,0,1,0,1,Mage,Burst,3,0,3,0,0,505,94,6.5,0.6,392.4,52,6,0.8,50.71,2.625,0.625,0.0224,22.55,3.75,30,0.5,340,550,2,Magic,Male,Cute
